,b_a0_a,b_a0_b,k_f_a,a_a0_a,a_a0_b,b_1_a,b_1_b,k_b_a,a_a1_a,a_a1_b,a_1_a,a_1_b,b_a1_a,b_a1_b,g_Kr,RMSE,iterations,score
10,0.006807895433315995,1.5038266885890834e-07,0.003011989021234291,4.678755026331075e-05,0.00021292839447727735,0.0009895686892035516,0.09649613524567063,0.004221158128167433,0.0001863995636788274,2.1326216367781903e-07,0.0004148065683293426,0.028994092245689277,1.1345386608050097e-06,0.014795747835188226,0.15237170187358412,,1079,
11,5.9013335117975944e-05,4.199463122542362e-05,1.853455173861405e-07,8.326522301319412e-06,0.0018495448435471643,1.49902723155362e-06,0.0007263496324134691,8.189012415687706e-06,0.00025841278672794296,0.00022806250837988703,0.009435132704464368,3.3531179773917644e-07,2.242398774206646e-06,0.00013559200201131136,0.15237170187358412,,1655,
12,1.8361688446361346e-06,4.587591943928378e-05,0.009103091102052372,0.012805142865720846,0.007732483577201833,1.1582346308218567e-05,0.0009692300018055364,0.011356623423189938,3.282216741806174e-05,0.0037083271496521557,0.02028702934333298,0.022988113744330463,6.783637431439617e-07,0.00013621573455969226,0.15237170187358412,,1290,
13,1.3573273230598622e-05,0.00012244350075968588,0.009595127202946077,0.01711490933187175,0.008147656010581988,4.8674523681461295e-05,0.0012760279219812597,0.0002144780410437346,9.034559162091882e-06,6.415385077497176e-06,5.479093229328546e-07,8.928186677429129e-07,0.020300898811313927,3.0786640040852633e-06,0.15237170187358412,,1558,
14,0.0002396676043248291,0.0007613663643468102,0.006656585379188948,1.9092358216526813e-07,2.1972650120434533e-05,0.015297403413409644,2.564367473406207e-07,0.020587693088677365,2.5289094434849883e-06,1.8376141958346357e-06,1.4861085215823622e-06,0.0035913003034074224,0.002736812700062729,0.0008139727636695946,0.15237170187358412,,1748,
15,0.0010880335458433475,2.944475875502305e-05,0.011824125835068592,3.478227764026498e-05,0.03020027226995471,1.5218255030306012e-07,0.0006130748920634272,0.0020522999142690962,0.03574655941463786,0.028860153934214497,4.932609306304368e-05,1.2310991439743625e-06,0.06128686032907658,1.7093534199483335e-07,0.15237170187358412,,1285,
16,9.843845451671849e-06,0.00017289083081520632,1.8467240526346683e-06,2.3859735241950666e-05,0.005640907356451631,0.0002253767275068571,8.519661234130094e-05,0.02126606396805032,8.597459242550605e-05,4.7126378940033854e-05,0.0003376188509898986,0.009227641722505224,1.3766334718559142e-05,0.00028779204369903824,0.15237170187358412,,1053,
17,2.914809923210449e-06,0.012331327003581975,1.7515781694371817e-06,0.0015949563883515896,2.5096273761059373e-05,1.1991439723580498e-07,1.0919635531902944e-05,0.030364370898035283,1.9110746574193625e-05,0.00746409491697844,0.05736018972544143,2.7307551794240594e-05,0.0021127922809067216,0.0034250841805327508,0.15237170187358412,,1685,
18,3.894562664043452e-05,4.673559270180436e-06,0.0035762282131725403,0.009439139149886821,6.558639286576563e-07,2.7725892967379483e-06,1.8315180594282894e-07,9.085357450308076e-07,1.6029051124477317e-05,0.0018400648890564701,0.0005758645656986114,3.2384849366891998e-06,0.0007170541022834118,2.71940909325912e-07,0.15237170187358412,,1080,
19,4.024059910205004e-07,0.018175898628443272,0.008955865075079839,1.6010350160508723e-05,0.008524578387506821,0.008405737432145895,8.094140200362283e-07,3.99361823678297e-06,0.009541306034320244,0.009794748872607598,0.06567806136970655,4.0777537098838474e-05,5.953184503295192e-07,0.00011047500221024212,0.15237170187358412,,1096,
