,model_class,dataset_index,fix_param,protocol,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,score,well
92,Beattie,3,8,staircaseramp1,0.0002067388115132175,0.05492293195424509,2.586257120645616e-05,0.060427251136409635,0.0979205107688522,0.008516518771403001,0.0014717243052789202,0.02625641156787381,0.6096,0.047665824120542995,3
93,Beattie,3,8,staircaseramp1,0.0002149687550101364,0.08507598786811527,3.687619668247194e-05,0.05111115423300468,0.08431831818433178,0.010399270570966767,0.00890173024590195,0.03506049055255936,0.08753081465077406,0.05418914458112446,3
94,Beattie,3,8,staircaseramp1,0.0001941636629885395,0.09359551064540171,1.6890285363993438e-05,0.05294160112607704,0.07840060307136902,0.017224820304987083,0.02266189969981594,0.03654320027428799,0.0381,0.13005384319931848,3
95,Beattie,3,8,sis,0.00022319387975650937,0.06949834384681829,3.4545610605035794e-05,0.05455757893577193,0.0870181310584404,0.00873052713990662,0.005172807031938063,0.031679870929034945,0.1524,0.036128927356104,3
96,Beattie,3,8,sis,0.00020372266451036764,0.060258626028887624,3.0256937395110153e-05,0.05806751899329007,0.08899712074659152,0.009400190471757683,0.0029361448801827205,0.027179192759822703,0.3048,0.04756859043049942,3
97,Beattie,3,8,sis,0.0001928358965105445,0.05681457030002746,2.8300209395881246e-05,0.0599131097340547,0.0907606689087659,0.009535009721207638,0.0015792618946226136,0.025200846430832535,0.6096,0.0557452916333394,3
98,Beattie,3,8,sis,0.00024328940224656553,0.08116312803193919,3.550914030435606e-05,0.0514232586709074,0.07898060663859718,0.008679786102070897,0.007574687055010107,0.036599335731653804,0.08753081465077406,0.05898448999568279,3
99,Beattie,3,8,sis,0.0002451280831869848,0.09678256823492908,1.9219541785539196e-05,0.05187643680211076,0.055107159089977334,0.010109741279057487,0.012986271217073424,0.045953543677764226,0.0381,0.13923878538062298,3
100,Beattie,3,8,spacefill19,0.00022152810797458424,0.06984007451284331,3.50587747988116e-05,0.05450257080885311,0.08630933157416501,0.008822141360527138,0.005149569804579252,0.03148667636479272,0.1524,0.06606036089309028,3
101,Beattie,3,8,spacefill19,0.0002223034900333502,0.06982838270516463,2.569277616124194e-05,0.05980498073120628,0.09267603264763291,0.009087239893564861,0.002894523752099915,0.025628780040222014,0.3048,0.08969233492821624,3
102,Beattie,3,8,spacefill19,0.00022934072162008934,0.06988985429243615,2.3687768202886474e-05,0.061630150832644996,0.09414217876542325,0.009200683591440823,0.001466005079611562,0.023603575410833473,0.6096,0.1056111127247247,3
103,Beattie,3,8,spacefill19,0.0002037445940217354,0.07650273871573057,3.969040402661536e-05,0.050033400657281867,0.07118129609716582,0.0095679209576669,0.006463839673595308,0.03855845571076927,0.08753081465077406,0.10907466901087151,3
104,Beattie,3,8,spacefill19,0.00012009515295832089,0.09746697320577469,1.315669401328438e-05,0.05452298163086322,0.04975952563895841,0.010447872841817673,0.009728015850785077,0.050629380915783805,0.0381,0.25259449844895476,3
105,Beattie,3,8,longap,0.00022299704175586006,0.07042825222246704,3.6079176294727716e-05,0.054222863284818575,0.08703188974315904,0.008752208827648055,0.005153252296493615,0.0316989397546164,0.1524,0.032244171585801666,3
106,Beattie,3,8,longap,0.0005030222229990122,0.05467022488246685,2.7341439253828248e-05,0.05726069318366734,0.1192040775234239,0.0002764255881394473,0.002412172801950746,0.031416086652757816,0.3048,0.03770446960158762,3
107,Beattie,3,8,longap,0.00061477849970612,0.049564065633875345,2.24448937760018e-05,0.05937763525818258,0.13262945385522937,1.2154030379803558e-10,0.0012518580390766126,0.029925288959431234,0.6096,0.041628719722815906,3
108,Beattie,3,8,longap,0.00011258292885137338,0.09692870991679739,2.986487740851727e-05,0.05294495952674143,0.07061916101982017,0.012598464707422222,0.007885585262952322,0.036095769049919325,0.08753081465077406,0.06502012835024763,3
109,Beattie,3,8,longap,0.00014396863466861225,0.09897792032582087,7.104836505204793e-06,0.06018464115722703,0.07111881642322003,0.008869440718124191,0.014722205452238731,0.0393005065586218,0.0381,0.15682202271314305,3
110,Beattie,3,8,hhbrute3gstep,0.0002259551243950955,0.06992284665420274,3.470711364312608e-05,0.054543088680830215,0.08716285229357348,0.00886473471883936,0.005149415401603894,0.031614749852929905,0.1524,0.03280453638281519,3
111,Beattie,3,8,hhbrute3gstep,0.00022670608102898546,0.06761035122067371,3.0455185305459232e-05,0.058660768674499736,0.08972637379919199,0.010154135670755028,0.0026370173488475027,0.027129853038327517,0.3048,0.05522090761064172,3
112,Beattie,3,8,hhbrute3gstep,0.00022812514860897357,0.06598919076945181,2.894387945848405e-05,0.06054832644428603,0.09341488402816595,0.010743882913460253,0.0013603286202398402,0.025382184095919743,0.6096,0.067655650039692,3
113,Beattie,3,8,hhbrute3gstep,0.0002208130041522802,0.07463581439527092,3.6977460784315314e-05,0.05065233096683076,0.0789877066211759,0.00900044850248694,0.008315624445316666,0.03599075085427157,0.08753081465077406,0.07691570212482138,3
114,Beattie,3,8,hhbrute3gstep,0.0001788816385520091,0.09147839799024354,3.0100312980759673e-05,0.04785450925278352,0.0494229478859219,0.014634024859814233,0.01508031531220159,0.044431881936367434,0.0381,0.18302190314348374,3
115,Beattie,3,8,wangbrute3gstep,0.00022457005137299277,0.07001337841935362,3.456829453959429e-05,0.05454758442341934,0.08631631531451248,0.00898519434037121,0.005089790160617849,0.031523732019191945,0.1524,0.030596280834492128,3
116,Beattie,3,8,wangbrute3gstep,0.00034373006386062733,0.059578254203576625,3.4226119902003e-05,0.05750774879129631,0.08909373917516882,0.009690794148292646,0.002717495923951008,0.026830361197963195,0.3048,0.06202528545267155,3
117,Beattie,3,8,wangbrute3gstep,0.0003795944551018069,0.056901888945110966,3.3308589103983416e-05,0.059135353222526395,0.09481202827338694,0.010289478142098653,0.001441339651852948,0.02481268967870413,0.6096,0.07912591826737103,3
118,Beattie,3,8,wangbrute3gstep,8.11603903046538e-05,0.09321904554184826,2.7362825027739828e-05,0.05326027544180583,0.07916787775624913,0.009711497607559098,0.007614201646130918,0.036883000401772004,0.08753081465077406,0.09288609843364545,3
119,Beattie,3,8,wangbrute3gstep,7.690636713528768e-05,0.09375286437573804,9.396746955138912e-06,0.05808089565230691,0.04954083168464706,0.013178533011140576,0.010814165673814262,0.0560058887767726,0.0381,0.23715051132360263,3
120,Beattie,4,8,staircaseramp1,0.0002258089840197218,0.06986886400225133,3.4420441908352094e-05,0.05460812504458177,0.08697898074195282,0.008752318741468097,0.005135062176292002,0.03171642396852007,0.1524,0.030289440386295823,4
121,Beattie,4,8,staircaseramp1,0.0002144690237494476,0.0583498850000026,2.8324762928231087e-05,0.058395631693928925,0.09451039579294356,0.00847481773344671,0.0028222700383711634,0.027924849246274214,0.3048,0.040615727119566014,4
122,Beattie,4,8,staircaseramp1,0.00020703897793164063,0.054905995463239446,2.58499288344826e-05,0.06042344400451727,0.09821402453032167,0.00853253646628424,0.0014767287220095841,0.026219215166533274,0.6096,0.0477437164383811,4
123,Beattie,4,8,staircaseramp1,0.00021538889694259475,0.0850040348937751,3.6885004661390655e-05,0.051102831536546496,0.08450283917778324,0.010425426490698032,0.008927575508456001,0.03501226117268854,0.08753081465077406,0.05419768131919764,4
