,b_a0_a,b_a0_b,k_f_a,a_a0_a,a_a0_b,b_1_a,b_1_b,k_b_a,a_a1_a,a_a1_b,a_1_a,a_1_b,b_a1_a,b_a1_b,g_Kr,RMSE,iterations,score,well,protocol
701,0.04851710155845957,0.06449157063436806,0.02540830590055131,0.02244099693127056,0.011920825426481804,0.006514665992357364,0.032643256167359885,0.038793655867577846,0.013629607195186777,0.036269719306981675,0.09103727657730014,0.023407674136212354,6.893403191476478e-05,0.04177876452840723,0.15240359290248526,138.05265672079952,1341,138.05265672079952,9,staircaseramp1
702,0.05101646766361814,0.06514223385544324,0.02491179437196578,0.023653285098179322,0.010697864916009447,0.006516574076021017,0.03264035450457143,0.037289908664396194,0.013386712411618222,0.03690324072795881,0.09106404196529849,0.023410741514476724,6.887145142959729e-05,0.04178422254018619,0.15240281919534962,138.05164227870316,1290,138.05164227870316,9,staircaseramp1
703,0.05084650002300114,0.06510706395712666,0.024995233049252122,0.023545940329070245,0.010829995082398491,0.006516326336246781,0.032640676465049985,0.03743057692330733,0.013396717659844655,0.03678631942143032,0.09106080510989402,0.023410458648369208,6.888770450303147e-05,0.041782652072292245,0.15240338548890706,138.05165904250964,1350,138.05165904250964,9,staircaseramp1
704,0.049281705781533416,0.06471879315367192,0.02533984480331091,0.022772258631647814,0.011586222287395335,0.006515228670454292,0.03264240189490443,0.03845763130716162,0.013561551121363119,0.03636566654462614,0.09104562640761532,0.023408582173971168,6.89261104881264e-05,0.0417794414479556,0.15240441507229055,138.05217262006647,964,138.05217262006647,9,staircaseramp1
705,0.05113077925997037,0.06512100787736674,0.024875500062902334,0.02362208979182413,0.010716433323940542,0.006516511100930698,0.03264027057959298,0.037215543652159504,0.013424579253746086,0.03688483858126153,0.09106483715406558,0.023410756029952195,6.890788328399003e-05,0.041780079032744534,0.15240439400026745,138.0516527681545,1648,138.0516527681545,9,staircaseramp1
706,0.05101318416302367,0.06514526830606475,0.024911800412900833,0.023662947241409577,0.010684779105833835,0.006516570539692491,0.03264041398574223,0.03729209815261913,0.013381920269999887,0.03691677748592033,0.09106367469352565,0.0234109400403092,6.886590930932717e-05,0.04178478021745467,0.15240207686317828,138.05164149047272,1601,138.05164149047272,9,staircaseramp1
707,0.05080156406227514,0.06507361995408673,0.02494674329507133,0.023534232023932792,0.010814103899927067,0.0065164570027261655,0.03264063975870792,0.03740187740173355,0.013414071381857235,0.03684677354147698,0.09106236994338837,0.023410497494552287,6.888383570023693e-05,0.04178291828008244,0.15240282706007144,138.05165120511322,1113,138.05165120511322,9,staircaseramp1
708,0.050431187283037845,0.06488547648812447,0.025003089083520575,0.023136703675795508,0.011161110876823054,0.006515886901549253,0.03264079307388633,0.03769843574024487,0.013593250527306582,0.036611603312314445,0.09105867071997718,0.023409649352108312,6.899131020128647e-05,0.04177118770189412,0.15240779943088342,138.0518165623118,1177,138.0518165623118,9,staircaseramp1
709,0.05099299740429342,0.0651114182355902,0.02488758907623766,0.023608869611117505,0.01070557655950302,0.006516612745787252,0.032640259491125985,0.037303261785997216,0.013422474042294533,0.03691890900430426,0.09106490756811271,0.023410993291751593,6.88841755287758e-05,0.041782678189396814,0.152402691232544,138.05164587068538,1535,138.05164587068538,9,staircaseramp1
710,0.006807895433315995,1.5038266885890834e-07,0.003011989021234291,4.678755026331075e-05,0.00021292839447727735,0.0009895686892035516,0.09649613524567063,0.004221158128167433,0.0001863995636788274,2.1326216367781903e-07,0.0004148065683293426,0.028994092245689277,1.1345386608050097e-06,0.014795747835188226,0.1524,,1704,,9,staircaseramp1
711,3.0385366285282102e-05,3.642802469361665e-05,1.550210709033772e-06,0.05813202862347642,1.5232815795532789e-05,0.008582970528093368,0.000636232315133451,1.9075779659580347e-07,8.045206170343635e-06,1.3722773631461901e-05,8.926517785084891e-06,0.014832384694256621,3.969541733517031e-07,0.04452208527441535,0.1524,,1341,,9,staircaseramp1
712,4.4991323849028504e-07,0.013580728709181651,7.132291618970786e-05,0.0068865183828152364,5.034330803099198e-06,0.06745968819376087,2.610881406422378e-05,1.0970752765412012e-07,1.726546225112409e-05,3.277632996477693e-05,0.047041068259414856,2.3069035069724368e-07,5.948771121870986e-05,1.4316336097927643e-05,0.1524,,1290,,9,staircaseramp1
