,well,fitting_protocol,validation_protocol,score,b_a0_a,b_a0_b,k_f_a,a_a0_a,a_a0_b,b_1_a,b_1_b,k_b_a,a_a1_a,a_a1_b,a_1_a,a_1_b,b_a1_a,b_a1_b,g_Kr,RMSE,protocol
23,7,sis,sis,0.030940985194233907,0.0468949549817916,0.06284570741732524,0.023555181307695613,0.022452121772954803,0.011681998888932607,0.006495886083478741,0.03269588818032606,0.03733328645909819,0.013933122580785646,0.03836641038629178,0.09081689886936876,0.023384248420020837,6.873414171276477e-05,0.04179550870070007,0.15236665470429467,0.030940985194233907,sis
24,0,hhbrute3gstep,sis,0.030876339863470527,0.04579963479352765,0.06262757250443868,0.023666253941295626,0.021565999378758787,0.012168247530530302,0.0064962083164221245,0.03268157637391432,0.037359046669784415,0.014128797331780636,0.038258062728432,0.09081864243647296,0.02338975285380878,6.903588978020404e-05,0.041765435438653215,0.15242228909946232,0.030876339863470527,sis
25,3,spacefill19,sis,0.03104870951840249,0.04561544604184687,0.06296325072797447,0.023744810911553213,0.02188500663772137,0.012233143402739788,0.006499736939048706,0.03267788328717828,0.03662805690108402,0.0137132117272112,0.0381047003837036,0.09084139570197426,0.023389882194218805,6.89164513430686e-05,0.04177863891297065,0.15239877392725557,0.03104870951840249,sis
26,5,staircaseramp1,sis,0.03092111554550884,0.04436144315683072,0.06241953888610201,0.023479452623965162,0.021674008083161476,0.012011890903366683,0.0064854348304032175,0.03268298336585605,0.03791680373910801,0.0140127157802493,0.03891227032557499,0.09063764640770347,0.02340041018081725,6.869638580570194e-05,0.041804072351066875,0.1523822034701707,0.03092111554550884,sis
27,9,longap,sis,0.030921973965521654,0.04866641306698419,0.06243401592256296,0.02392256776531923,0.02287515653939738,0.011425616406300654,0.006497936216308539,0.03268490707770721,0.03613872151777271,0.013557278631989196,0.037983160702673664,0.09083385604241326,0.023406634039396003,6.88410396108784e-05,0.04179074880822639,0.15237170187358412,0.030921973965521654,sis
28,8,staircaseramp1,sis,0.031011432181053854,0.04586303821724644,0.06223553979164984,0.02332923482904276,0.021659421652351026,0.01113992604724662,0.006497330525249249,0.03268428553367821,0.036127720572286165,0.013941206950802804,0.03975215450412052,0.09081281369961841,0.023390684055415074,6.865068124805813e-05,0.04180707563408933,0.15236355443281432,0.031011432181053854,sis
29,4,wangbrute3gstep,sis,0.03090231815965554,0.047366310380520985,0.06294739604370961,0.023797615165040437,0.022262955623667244,0.011915931494768403,0.006496103282780892,0.03268592506178144,0.03665284989238565,0.013777567203652275,0.03796146560798489,0.0908197976165445,0.023385641406104114,6.905823501644165e-05,0.04176122283087574,0.15242601134045422,0.03090231815965554,sis
30,6,sis,spacefill19,0.03178915033428151,0.045732401082135395,0.06293736183725125,0.02403089136068179,0.02231700480497199,0.011491091079628344,0.006498274090499645,0.032670579427998,0.03743977994671322,0.013495351498730119,0.03879218591484689,0.09080714049694613,0.023394913140656007,6.841259669584065e-05,0.04183862104541362,0.15238786119242778,0.03178915033428151,spacefill19
31,2,longap,spacefill19,0.031862573724737824,0.04544992641832533,0.06422165212037935,0.023603746719397217,0.021798226935294564,0.012548942534096469,0.006489867532982635,0.032669071670643125,0.03708512512331147,0.013726937887586879,0.03826308852917366,0.0907298725404854,0.023448956080550993,6.83693425812999e-05,0.04184713784659304,0.15242464219834612,0.031862573724737824,spacefill19
32,1,longap,spacefill19,0.03169320089478318,0.04710788646848556,0.06355202965222445,0.024421490303026018,0.022318601825271952,0.012305153016949677,0.006484251301969379,0.03270650413503341,0.03749079377603936,0.013482770124396934,0.037201460249988466,0.09050269490207126,0.023429767541615496,6.888522777478295e-05,0.04178072545717916,0.15234773035026578,0.03169320089478318,spacefill19
33,7,spacefill19,spacefill19,0.0319562063790751,0.04974167619829943,0.06322341106132502,0.023995521969437224,0.0228188119782946,0.011315640256568203,0.006498601335639683,0.03267250868503954,0.03621210478275099,0.013669061720938337,0.03782665905036067,0.0908380990276884,0.02339074375102167,6.905791048543692e-05,0.0417642819972973,0.1524154261829846,0.0319562063790751,spacefill19
34,0,sis,spacefill19,0.03199519736960885,0.045499295762781104,0.06293579302228065,0.023467271041879158,0.02252962232581711,0.012229045836091896,0.006501063996883818,0.03268350993922478,0.03614899617639595,0.013304074301815601,0.03844258208854689,0.0908330493518073,0.02338113479053624,6.865862989408754e-05,0.041806517077118056,0.1523518656752727,0.03199519736960885,spacefill19
35,3,longap,spacefill19,0.03185687448071581,0.04672225646564192,0.06362315592014067,0.02371971996929629,0.021991418667542437,0.013271034482659103,0.006485189282560596,0.03267725266557763,0.03635932049679249,0.01358978277986196,0.03708416424936312,0.09065768098026587,0.02341309398664179,6.890652692807472e-05,0.04178792425853626,0.15246910613386278,0.03185687448071581,spacefill19
36,5,sis,spacefill19,0.03193987319715492,0.04501863157013083,0.06248777333519153,0.024045620997232325,0.021434346784442514,0.011958411667059092,0.0065051280808219435,0.03268740629137868,0.038642573261113096,0.014148327631653515,0.03847672648492537,0.09085783678328402,0.023391224869051017,6.876669541861192e-05,0.041789929580331626,0.1523030860180152,0.03193987319715492,spacefill19
