,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations,score,well,protocol
742,0.0015660881511135789,0.07913607298401255,2.2309751004960713e-05,0.05113289980726815,0.09586331071802033,0.02391848802609429,0.0070539104192314335,0.03136933285026782,0.1546041095849526,705.3373308140569,1202,705.3373308140569,9,sis
743,0.001565947869676698,0.07913242045535838,2.231488631474646e-05,0.05113079041260943,0.09585768878614448,0.02391907783494005,0.007053671341968886,0.03136953660217623,0.15460169929608497,705.3373898708692,514,705.3373898708692,9,sis
744,0.0015659906720983563,0.07913508594310058,2.230538951784857e-05,0.05113471746597582,0.09586578900426844,0.023917376560206934,0.0070540367132616395,0.03136899096958023,0.15460738660360465,705.3373326469163,609,705.3373326469163,9,sis
745,0.0015661141295073074,0.07913571379453138,2.2309751982366285e-05,0.05113295091365385,0.09586114635536454,0.023918526725546892,0.007053763316680185,0.03136930721683272,0.15460367008709183,705.3373482231328,506,705.3373482231328,9,sis
746,0.0015660675043117514,0.07913566329750994,2.2309874460947344e-05,0.05113276485080655,0.09586206988067979,0.02391839142075652,0.007053974458727547,0.03136946112550849,0.15460219571933498,705.3373436164716,513,705.3373436164716,9,sis
747,0.0015660456940357348,0.07913588388918621,2.2307942138638794e-05,0.051133453942784325,0.09586437796825859,0.023917651571548727,0.007054068544944809,0.031369506394699556,0.15460406457076137,705.3373237192216,1155,705.3373237192216,9,sis
748,0.0015660640537060757,0.0791355817658168,2.2308387790492847e-05,0.051133374497411135,0.09586304172238665,0.023917516649136515,0.007053971178618055,0.03136973885904157,0.1546033703726413,705.3373428617203,493,705.3373428617203,9,sis
749,0.001566075245433668,0.07913587739620377,2.2308441222378597e-05,0.051133278002912536,0.09586365832104041,0.023918201841539068,0.007054039218666064,0.0313692956708243,0.15460263742583719,705.3373279634685,1079,705.3373279634685,9,sis
750,1.9887543461186184e-07,0.0004848573440884817,0.060060845360397346,3.905509810856547e-06,1.7361470911988398e-05,5.084613785994192e-05,0.004719766590513856,0.010379969339376438,0.15460739281017327,,519,,9,sis
751,1.07482775139316e-07,1.0713030091290737e-07,1.728763509353459e-05,2.6462320298612864e-05,0.0002220667964604614,1.1364533584057955e-05,0.0005346735592430563,0.00461395510785372,0.15460739281017327,,591,,9,sis
752,1.6998149955592333e-06,0.03036061093285613,9.939691671506669e-05,1.1502409972195567e-05,6.482280453342407e-07,8.839558151320313e-07,0.0023433324780425782,0.0001706000143779142,0.15460739281017327,,1202,,9,sis
753,1.6659771513486824e-06,0.0010837578054964823,2.631519520057524e-06,0.0003697822035740835,2.8571134429143708e-05,0.0002492124670946311,9.841713360395595e-05,6.91781502961101e-05,0.15460739281017327,,514,,9,sis
754,1.18312681413524e-06,1.5941347478054689e-06,0.01726100793943804,0.013929853304129566,7.356355779785504e-05,0.0023006443725647648,0.0018631185049976936,3.079803028717434e-06,0.15460739281017327,,609,,9,sis
755,1.6601943773344343e-06,0.00012906233681509184,0.009207286155583388,0.0007505399531508844,0.003925556619327871,6.045216500228427e-06,0.004867880977358475,0.06141198075644376,0.15460739281017327,,506,,9,sis
756,1.8957999655872357e-07,2.748706196852419e-07,2.155029284917823e-07,0.011492429057368667,2.2119399901609343e-07,5.79163193150518e-06,1.8564863763973264e-05,0.002383583026177343,0.15460739281017327,,513,,9,sis
757,0.0014376672170831669,4.858510373687483e-07,2.10971805958261e-05,7.185940489172397e-05,0.07426561696296063,5.294910530146864e-05,2.6154358085316697e-06,0.04485609883405129,0.15460739281017327,,1155,,9,sis
758,2.488237990050981e-07,0.00038939413680551466,0.0003750726527507225,0.04689902655677603,0.00014993666633238018,2.168043984051453e-07,0.0001038095872888745,0.003160597365016484,0.15460739281017327,,493,,9,sis
759,0.008349153695675418,4.948231044497144e-06,0.0001850249658785792,0.046169707556367214,1.82704786973525e-05,0.0021383067775968636,0.00027181496005557166,7.172302020950548e-07,0.15460739281017327,,1079,,9,sis
760,0.0009399425331536893,0.0841920810632476,5.006115569235883e-05,0.044344057483281116,0.10691914551422857,0.019430079341397163,0.008138913874453662,0.029483557142822393,0.16078916552737854,516.5834285342218,884,516.5834285342218,7,longap
761,0.0009403592428354594,0.08419225531517315,4.999514240897302e-05,0.044355009983573584,0.10699115598832519,0.019420190750920913,0.008143032808302707,0.029482680173799247,0.16079007877668317,516.5835827246807,1585,516.5835827246807,7,longap
762,0.0009404733842817802,0.08417708809254439,5.00972692134539e-05,0.04433797583025424,0.10692173611040097,0.019428336348045947,0.008138768449032156,0.02948355216435054,0.16079523920667274,516.5834356869256,727,516.5834356869256,7,longap
763,0.0009398118539890284,0.08421601477205143,5.002570374066667e-05,0.04434998704639331,0.10697462807377767,0.01942441182915988,0.008141781334119582,0.029482874498844732,0.16079188660401358,516.5835573606709,922,516.5835573606709,7,longap
764,0.0009400469839872592,0.08418928191531969,5.007805295494081e-05,0.044341196333565855,0.10692169355357747,0.019429356885900105,0.008139040778324686,0.02948365382155889,0.16079256504892653,516.5834161273086,956,516.5834161273086,7,longap
765,0.0009421168509860676,0.08411968848508732,4.998006507888869e-05,0.04435772411950168,0.1070060726205032,0.019416457211541237,0.008143400762134404,0.02948201880448767,0.16079777655543676,516.5840231620714,1319,516.5840231620714,7,longap
766,0.000940093138221708,0.08419619168786464,5.0080268244780095e-05,0.044341076321856396,0.10692590281922443,0.0194314826917576,0.008138412327329606,0.029479092258864276,0.16080186877796218,516.5834998234649,794,516.5834998234649,7,longap
767,0.0009405046544007971,0.08419061842621862,5.0023751816821226e-05,0.044350124374590925,0.10699091692428447,0.01941929832710999,0.00814293204225499,0.029483061430590533,0.16079238618474867,516.5835936241755,586,516.5835936241755,7,longap
768,0.0009396693150654951,0.08420611114722232,5.006990550470912e-05,0.044342511255972494,0.1069209399824859,0.01942965907658203,0.008138983101057705,0.029484124240806577,0.1607886623998626,516.5834154558478,745,516.5834154558478,7,longap
769,0.00093635181642919,0.08435618811319073,5.012998926659739e-05,0.0443328239521445,0.10690489039497761,0.019438381838122784,0.008138425975860855,0.029480246559813367,0.16079897723485923,516.5849008048523,778,516.5849008048523,7,longap
770,1.9887543461186184e-07,0.0004848573440884817,0.060060845360397346,3.905509810856547e-06,1.7361470911988398e-05,5.084613785994192e-05,0.004719766590513856,0.010379969339376438,0.16078928985578542,,884,,7,longap
771,1.215200285813324e-05,3.8409611792984466e-07,0.00011921287658523374,2.762917671874439e-06,5.903973876214961e-06,6.841591219421028e-07,2.003749621077292e-07,2.9084500857305694e-05,0.16078928985578542,,1585,,7,longap
772,0.08298463945388596,4.666456897203907e-06,1.93729027330993e-07,1.0732143957368396e-06,7.544428936127404e-05,2.3920137568695467e-05,3.365277288589828e-07,0.03323310557214267,0.16078928985578542,,727,,7,longap
773,0.014243378499921544,7.566594085262758e-07,2.5211139610114646e-07,0.00046876128249296803,1.954144624739002e-05,0.0005667015003103639,2.903114931443789e-07,0.001068031590153983,0.16078928985578542,,922,,7,longap
774,0.000987364179144267,2.4571610128857067e-05,2.4020809745078543e-05,3.901392099124028e-06,0.0002231521979933274,0.00011968132580158465,1.548309287357815e-05,1.0113764462615613e-06,0.16078928985578542,,956,,7,longap
775,0.0013435126884700705,0.006350136016352676,5.210692759374443e-07,0.0013114461585063337,0.0008937251425179651,1.8878452778338598e-07,0.00190097235532489,7.784081270350806e-05,0.16078928985578542,,1319,,7,longap
776,0.00010328037095668476,2.418294639242192e-05,8.36464623809949e-05,0.00018489866362238918,1.2831874547000324e-05,5.2849426835414446e-06,0.008046638201691823,0.017019963213854565,0.16078928985578542,,794,,7,longap
777,0.0057397724320307495,5.793327068164175e-07,0.01844604818471035,2.1621840250701765e-06,8.198706333912623e-05,0.0015752170056910163,0.002807373787832155,1.6233694582804614e-07,0.16078928985578542,,586,,7,longap
778,1.0207123178494024e-07,0.0003430036817627237,0.0684756210313929,0.08045132859610502,0.0015337778552785436,0.06258935919432193,4.3118341785208686e-05,5.8058115385260346e-05,0.16078928985578542,,745,,7,longap
779,0.07620834902263707,0.0026647161208845356,0.012923566049835569,0.002436441578080052,0.013689769769673617,0.0007637036255523214,2.212577035297073e-05,0.005511854426902551,0.16078928985578542,,778,,7,longap
780,0.001565119029374142,0.07914339546872246,2.2291207288180395e-05,0.05113592288778644,0.0958903179335592,0.02388584504060587,0.0070602540815722335,0.0313862529312869,0.15458912706123623,705.7018360043639,650,705.7018360043639,3,sis
781,0.0015651050523523492,0.07914404563258233,2.2290746824701502e-05,0.05113592059179823,0.09589033306456261,0.023884797340520007,0.007060507502636019,0.03138745596293638,0.1545846120009377,705.7018464863771,524,705.7018464863771,3,sis
782,0.0015651314567129374,0.07914441406154944,2.2292246925623035e-05,0.05113531215629416,0.09589261946655991,0.023885465922506836,0.007060582119780104,0.03138642153682835,0.15458797103055555,705.7018315250683,976,705.7018315250683,3,sis
783,0.0015650630184218417,0.07914284937104774,2.229037661169147e-05,0.05113625533463085,0.09589026003611843,0.023885606789880467,0.00706031786006209,0.03138639846988986,0.15458806782157197,705.7018359701177,527,705.7018359701177,3,sis
784,0.0015651832395883337,0.07914647108958418,2.22915891512162e-05,0.05113571823403355,0.09589247036410452,0.023886039723799317,0.007060453531929442,0.031385980294342176,0.15458849030127295,705.7018329200627,583,705.7018329200627,3,sis
785,0.0015651069296593496,0.07914422198997441,2.229231282641841e-05,0.051135425331812846,0.09589207911584031,0.023885445037629856,0.00706054104629058,0.031386705894728195,0.1545875648585604,705.7018265941875,718,705.7018265941875,3,sis
786,0.001565060552783352,0.07914328414251666,2.2291487330682685e-05,0.051135729441644996,0.09588769964907283,0.023885686396655108,0.007060142456958238,0.03138662286434514,0.15458708017395745,705.7018424999413,566,705.7018424999413,3,sis
787,0.0015651431122969588,0.07914474629887176,2.2291331823053098e-05,0.05113588108904208,0.0958905190183322,0.02388576632822896,0.007060310011789392,0.031386152609209815,0.15458887235432842,705.701824532785,702,705.701824532785,3,sis
788,0.0015650911225692091,0.07914456227995163,2.2292296337741766e-05,0.05113538831965305,0.09589000031072527,0.02388515018807024,0.00706039903864775,0.031386930905143634,0.15458714759745842,705.701825211127,932,705.701825211127,3,sis
789,0.0015650493975312837,0.07914399691257894,2.2290598739876294e-05,0.05113602033968342,0.09589282498332802,0.023886543700091818,0.007060577867896542,0.03138577948302904,0.15458640592667358,705.7018410529237,672,705.7018410529237,3,sis
790,1.9887543461186184e-07,0.0004848573440884817,0.060060845360397346,3.905509810856547e-06,1.7361470911988398e-05,5.084613785994192e-05,0.004719766590513856,0.010379969339376438,0.1545871333316154,,650,,3,sis
791,0.017315725184150716,0.04994709158136831,1.2116625291037898e-05,4.878616555915119e-05,0.02640123028211276,0.0007038099626342168,0.00016628378962159476,7.44842790226947e-07,0.1545871333316154,,524,,3,sis
792,2.8290436466346586e-06,1.2680504352599098e-05,0.00936243751162987,0.008576521392255374,2.6521289537794123e-05,0.00010925426805545241,0.002398857254669152,0.002404582950337357,0.1545871333316154,,976,,3,sis
793,0.0005116749727333949,0.0009034654107242044,1.3449540446106171e-05,0.0002292436317179944,0.048224048414453775,1.6997177350200775e-05,0.022639174538174718,0.0011015296328298464,0.1545871333316154,,527,,3,sis
794,0.0007722395281784536,0.01018358418029169,0.038528425235835856,0.009887855914067397,0.000247228119397046,1.290219093683142e-06,1.650421039615121e-05,4.617235349010131e-05,0.1545871333316154,,583,,3,sis
795,9.285574586622832e-05,0.073870400690687,0.000608562576779467,5.886007180800712e-05,0.03864073477675657,0.002715366121479701,2.710885279387128e-07,0.010371837747246468,0.1545871333316154,,718,,3,sis
796,3.381053949328392e-06,1.2270476926828257e-07,0.0001981397357655197,5.042288079216397e-07,1.8195635766333705e-06,6.105287229379015e-05,0.023860761247671714,6.121720960153089e-06,0.1545871333316154,,566,,3,sis
797,2.9031494322620544e-07,1.3776187023108226e-06,8.195237094122177e-05,5.389827028130966e-07,3.573428467732873e-07,1.0417139593428398e-07,1.3123166674881153e-05,5.851688931698134e-05,0.1545871333316154,,702,,3,sis
798,0.019687978827232024,0.048633485149173074,0.015087669476478072,0.002912021284556112,3.3488785608895387e-07,1.1920070616508705e-05,0.011017363456508127,0.0006195506722188858,0.1545871333316154,,932,,3,sis
